Maze,Fish_ID,Trial_ID,Trajectory,D_Point,Total_time
BLANK,7,7,27.16330438,D2,900.00
BLANK,7,8,8.129707393,D1,289.00
BLANK,7,9,2.159443552,D2,88.00
BLANK,7,10,4.302927079,D2,135.00
BLANK,7,11,2.01341591,D2,111.00
BLANK,7,12,26.82633156,D2,900.00
BLANK,7,13,26.63640584,D3,900.00
BLANK,7,14,6.070913641,D2,209.00
BLANK,7,15,NA,NA,189.00
BLANK,7,16,2.898253988,D2,101.00
BLANK,7,17,30.28782787,D2,900.00
BLANK,7,18,15.30195797,D2,694.00
BLANK,7,19,18.22943327,D2,900.00
BLANK,7,20,16.41153245,D2,668.00
BLANK,8,1,13.1152692,D5,755.00
BLANK,8,2,32.17113458,D3,900.00
BLANK,8,3,26.00406776,D2,900.00
BLANK,8,4,25.2752326,D3,900.00
BLANK,8,5,19.0081725,D2,900.00
BLANK,8,6,15.34969147,D1,900.00
BLANK,8,7,18.29676132,D1,900.00
BLANK,8,8,22.42206857,D2,900.00
BLANK,8,9,3.901913376,D1,900.00
BLANK,8,10,7.62150732,D1,900.00
BLANK,8,11,10.54401674,D1,900.00
BLANK,8,12,20.82162369,D1,900.00
BLANK,8,13,14.01594317,D1,900.00
BLANK,8,14,1.065986225,D1,900.00
BLANK,8,15,11.39038929,D1,900.00
BLANK,8,16,0.187002813,D1,173.00
BLANK,8,17,4.050813114,D1,280.00
BLANK,8,18,7.462525306,D1,900.00
BLANK,8,19,2.297489275,D1,900.00
BLANK,8,20,2.849469001,D1,900.00
BLANK,9,1,41.72101329,D3,900.00
BLANK,9,2,NA,NA,NA
BLANK,9,3,21.83473698,D3,900.00
BLANK,9,4,18.83832629,D4,900.00
BLANK,9,5,20.01868966,D2,900.00
BLANK,9,6,28.36435539,D3,900.00
BLANK,9,7,20.01706121,D2,900.00
BLANK,9,8,6.755166409,D3,194.00
BLANK,9,9,17.55778114,D2,900.00
BLANK,9,10,26.24442217,D2,900.00
BLANK,9,11,15.93513517,D2,542.00
BLANK,9,12,19.27996396,D1,900.00
BLANK,9,13,18.11014989,D2,900.00
BLANK,9,14,24.35285594,D2,900.00
BLANK,9,15,9.540538606,D2,440.00
BLANK,9,16,15.1769776,D5,650.00
BLANK,9,17,17.88121911,D2,900.00
BLANK,9,18,18.80372719,D2,900.00
BLANK,9,19,25.62736217,D3,900.00
BLANK,9,20,12.65171655,D5,345.00
BLANK,10,1,23.18119441,D2,678.00
BLANK,10,2,31.7566062,D2,900.00
BLANK,10,3,29.18732995,D2,900.00
BLANK,10,4,33.45628486,D2,900.00
BLANK,10,5,30.40137303,D2,900.00
BLANK,10,6,23.49731896,D2,900.00
BLANK,10,7,23.75877695,D1,900.00
BLANK,10,8,20.6241341,D1,900.00
BLANK,10,9,30.60916802,D2,900.00
BLANK,10,10,21.59263461,D2,900.00
BLANK,10,11,27.75695399,D2,900.00
BLANK,10,12,19.57713566,D2,900.00
BLANK,10,13,24.5491981,D2,900.00
BLANK,10,14,28.9624877,D2,868.00
BLANK,10,15,26.72076035,D1,900.00
BLANK,10,16,3.819889553,D1,127.00
BLANK,10,17,20.21304544,D1,900.00
BLANK,10,18,21.1128913,D1,900.00
BLANK,10,19,27.28007061,D1,900.00
BLANK,10,20,25.74200512,D1,900.00
GRAVEL,1,1,1.286998292,D1,900
GRAVEL,1,2,0.864801046,D1,395
GRAVEL,1,3,0.374991919,D0,900
GRAVEL,1,4,1.329368955,D0,900
GRAVEL,1,5,3.118673502,D1,900
GRAVEL,1,6,3.705796272,D2,900
GRAVEL,1,7,1.896816634,D1,900
